id,web_url,abstract,title,keyword_one,keyword_two,keyword_three,keyword_four,keyword_five,published_date,section_name,subsection,image
100000010854241,https://www.nytimes.com/interactive/2026/magazine/greatest-american-songwriters-alive.html,More than 250 music insiders and six New York Times critics weighed in on who defines the new American songbook. Here are the artists they chose.,The 30 Greatest Living American Songwriters,Music,Pop and Rock Music,Rhythm and Blues (Music),Latin Music,Rap and Hip-Hop,2026-04-27,Magazine,,https://static01.nyt.com/images/2026/04/24/03mag-Songwriters-Promo-59299/03mag-Songwriters-Promo-59299-mediumThreeByTwo440-v2.jpg
100000010877926,https://www.nytimes.com/2026/05/03/nyregion/rudy-giuliani-hospital-critical-condition.html,A spokesman for the former mayor of New York City said Mr. Giuliani was now breathing on his own.,Rudy Giuliani Remains in Critical Condition With Pneumonia,Mayors,United States Politics and Government,Presidential Election of 2020,,,2026-05-03,New York,,
100000010837980,https://www.nytimes.com/2026/04/22/well/mind/medications-dementia-risk-increase.html,Experts have flagged several over-the-counter and prescription medications.,4 Drugs That May Increase Your Dementia Risk,Dementia,Drugs (Pharmaceuticals),Mental Health and Disorders,Clinical Trials,Content Type: Service,2026-04-22,Well,Mind,https://static01.nyt.com/images/2026/04/22/well/22WELL-MEDICATIONS-DEMENTIA-INCREASE-RISK-image/22WELL-MEDICATIONS-DEMENTIA-INCREASE-RISK-image-mediumThreeByTwo440.jpg
100000010837612,https://www.nytimes.com/2026/04/13/us/politics/trump-jesus-picture-pope-leo.html,"The image showed President Trump bathed in divine light and clad in religious robes. His interpretation was that the image depicted him as a doctor, not Jesus Christ.",Trump Posted a Picture of Himself as Jesus. Now He’s Trying to Explain It Away.,United States Politics and Government,Popes,,,,2026-04-13,U.S.,Politics,https://static01.nyt.com/images/2026/04/13/multimedia/13dc-trump-pope-mgfc/13dc-trump-pope-mgfc-mediumThreeByTwo440.jpg
100000010840794,https://www.nytimes.com/interactive/2026/04/15/opinion/glp1-health-effects.html,Millions of Americans are experimenting with the drugs. Science can’t keep up.,The Great American GLP-1 Experiment,GLP-1 RAs (Drug),Obesity,Weight,Diabetes,Diet and Nutrition,2026-04-15,Opinion,,https://static01.nyt.com/images/2026/04/15/opinion/15belluz-promo/15belluz-promo-mediumThreeByTwo440-v2.jpg
100000010815730,https://www.nytimes.com/2026/04/11/business/lauren-sanchez-bezos-jeff-bezos.html,"As half of an unfathomably powerful couple, Mrs. Sánchez Bezos seems to have influenced the uber-rich to stop apologizing, and start enjoying themselves.",Someone Has to Be Happy. Why Not Lauren Sánchez Bezos?,High Net Worth Individuals,Fashion and Apparel,Philanthropy,Content Type: Personal Profile,internal-open-access-from-nl,2026-04-11,Business,,https://static01.nyt.com/images/2026/04/12/multimedia/12biz-sanchez-lede-sub-jbtg/12biz-sanchez-lede-sub-jbtg-mediumThreeByTwo440.jpg
100000010859906,https://www.nytimes.com/2026/05/04/us/politics/trump-buffalos-montana.html,"The Trump administration is evicting bison herds from federal grasslands in Montana, siding with ranchers and Republican leaders over environmentalists and tribal leaders.",Home on the Range No More: Trump Wants Bison Gone,Bison,Federal Lands,United States Politics and Government,Livestock,Agriculture and Farming,2026-05-04,U.S.,Politics,https://static01.nyt.com/images/2026/05/04/multimedia/04nat-montana-bison-t3--01-wqjv/04nat-montana-bison-t3--01-wqjv-mediumThreeByTwo440.jpg
100000010877787,https://www.nytimes.com/2026/05/03/well/cruise-ship-virus-fatal-outbreak.html,"One case of hantavirus infection has been confirmed in a laboratory, the organization said on Sunday. There are five additional suspected cases.","3 Dead of Suspected Hantavirus Infections on Cruise Ship, W.H.O. Says",Hantavirus,Cruises,Travel and Vacations,Deaths (Fatalities),Respiratory Diseases,2026-05-03,Well,,https://static01.nyt.com/images/2026/05/03/multimedia/03xp-cruise-wqmg/03xp-cruise-wqmg-mediumThreeByTwo440.jpg
100000010877464,https://www.nytimes.com/2026/05/07/opinion/birthrate-kids-parents-demographics-future.html,We can’t be certain — and that’s the point.,Why So Few Babies? We Might Have Overlooked the Biggest Reason of All.,Birth Rates,Economic Conditions and Trends,Generation Z,Cost of Living and Affordability,Global Warming,2026-05-07,Opinion,,https://static01.nyt.com/images/2026/05/12/multimedia/07sussman-zgwp/07sussman-zgwp-mediumThreeByTwo440-v3.jpg
100000010754644,https://www.nytimes.com/2026/04/24/arts/music/michael-jackson-second-family-cascio.html,The Cascio siblings are suing Mr. Jackson’s estate after standing by him for years as he faced accusations of child molestation.,They Were Michael Jackson’s ‘Second Family.’ Now They Say He Abused Them.,Pop and Rock Music,Suits and Litigation (Civil),Child Abuse and Neglect,Sex Crimes,Compensation for Damages (Law),2026-04-24,Arts,Music,https://static01.nyt.com/images/2026/04/23/multimedia/23cul-mj-accusations-02-qkgt/23cul-mj-accusations-02-qkgt-mediumThreeByTwo440.jpg
100000010855344,https://www.nytimes.com/2026/04/23/us/politics/justice-dept-citizens-denaturalization.html,"The Trump administration is assigning denaturalization cases to regular prosecutors, which could lead to a surge of people stripped of U.S. citizenship.",Justice Dept. Targets Hundreds of Citizens in New Push for Denaturalization,Citizenship and Naturalization,Illegal Immigration,Deportation,Immigration and Emigration,United States Politics and Government,2026-04-23,U.S.,Politics,https://static01.nyt.com/images/2026/04/22/multimedia/22dc-denaturalization-mwgp/22dc-denaturalization-mwgp-mediumThreeByTwo440.jpg
100000010836649,https://www.nytimes.com/2026/04/16/us/ice-detention-alabama-french-woman.html,"After Marie-Thérèse Ross-Mahé’s husband died, an inheritance battle exploded. Her stepson then used his influence to have her arrested, an Alabama probate judge said.",ICE Arrests 85-Year-Old French Widow Who Married Her G.I. Sweetheart,Immigration Detention,Wills and Estates,Widows and Widowers,,,2026-04-16,U.S.,,https://static01.nyt.com/images/2026/04/16/multimedia/16nat-french-detained-jvtp/16nat-french-detained-jvtp-mediumThreeByTwo440.jpg
100000010873127,https://www.nytimes.com/2026/05/06/nyregion/epstein-suicide-note.html,"A federal judge released the note, which Jeffrey Epstein’s former cellmate said he found in a graphic novel. The New York Times has not authenticated that Mr. Epstein wrote it.",Purported Epstein Suicide Note Is Released,Suicides and Suicide Attempts,Prisons and Prisoners,Federal Courts (US),internal-open-access-from-nl,,2026-05-06,New York,,
100000010859015,https://www.nytimes.com/2026/04/28/magazine/taylor-swift-songwriting-process-interview.html,"The artist shares stories behind some of her biggest hits, her love of a “rant bridge” and how life in the public eye informs the stories she tells in her songs.",The Taylor Swift Interview,Country Music,Pop and Rock Music,Content Type: Personal Profile,internal-paywall-exempt,,2026-04-28,Magazine,,
